70-122 Thursday July 13 10:30AM 70 mins
11.8915788662
12.2020169913
28.7185005705
29.5978056155
33.7419214236
37.386143344
39.6919220422
67.477728301
72.3468103958
72.6849186266
73.1515037025
90.4411561774
90.719023043
91.0134967305
94.5893642109
94.7955933394
